::1 - - [28/Jan/2026:01:38:52 +0000] "GET /api/users HTTP/1.1" 403 47 "-" "curl/8.16.0"
::1 - - [28/Jan/2026:01:39:58 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:39:58 +0000] "GET /api/users HTTP/1.1" 500 97 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:40:55 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:40:55 +0000] "GET /api/users HTTP/1.1" 200 426 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:40:55 +0000] "POST /api/users HTTP/1.1" 201 68 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:40:55 +0000] "PUT /api/users/1 HTTP/1.1" 200 54 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:40:55 +0000] "GET /api/users/1 HTTP/1.1" 200 230 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:41:11 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:41:11 +0000] "GET /api/dashboard/stats HTTP/1.1" 200 523 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:41:11 +0000] "GET /api/outlets HTTP/1.1" 500 101 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:41:54 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:41:54 +0000] "GET /api/dashboard/stats HTTP/1.1" 200 523 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:41:54 +0000] "GET /api/outlets HTTP/1.1" 200 590 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:41:54 +0000] "POST /api/outlets HTTP/1.1" 201 70 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:41:54 +0000] "GET /api/visits/md HTTP/1.1" 500 104 "-" "axios/1.13.3"
::1 - - [28/Jan/2026:01:42:52 +0000] "POST /api/auth/login HTTP/1.1" 200 322 "-" "axios/1.13.3"
